Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
AU10TIX,au10tix.com,"AU10TIX specializes in multi-channel (front-end, online, mobile) ID authentication and record generation solutions. The company develops and implements solutions that automate the capture, authentication, validation and generation of digital records of identifying documents such as Passports, identity cards, driving licenses etc.",Cyprus,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2002,Emerging,"80,000,000",Series B
BioCatch,biocatch.com,"BioCatch provides behavioral authentication and threat detection solutions for mobile and web applications. Available as a cloud-based solution, BioCatch proactively collects and analyzes bio-behavioral, cognitive and physiological parameters to generate a unique user profile. Banks, eCommerce websites, and mobile apps use BioCatch to significantly reduce friction associated with risky transactions and protect users against cyber threats, such as Account Takeovers, Man-in-the-Browser (MitB) Malware, and Remote Access (RAT) attacks.",Israel,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2010,Mature,"211,610,000",Series C
Bud Financial,thisisbud.com,Bud is a UK technology platform which aggregates financial services and products into a single marketplace. Bud is a provider of API that power developer of financial services applications and help them connect with user bank accounts.,United Kingdom,Data Aggregators,9. Open Banking,2015,Nascent,"22,180,000",Series A
Conductor,conductor.com.br,"Conductor offers credit card processing services. Operating in the B2B market, the company provides electronic payment services to financial institutions and companies.",Brazil,Product As A Service,2. Payments Initiation,1997,Mature,"170,000,000",Series A
Mercury,mercury.co,"Mercury provides bank accounts built specifically for startups by combining Federal Deposit Insurance Corp (FDIC)-insured checking and savings accounts with tech tools like cashflow analytics, intuitive dashboards, and efficient payments.",United States,Product As A Service,6. Other As A Service,2019,Nascent,"30,930,000",Series A
Rapyd,rapyd.net,"Rapyd does for fintech what the cloud did for IT. The company builds the technology that removes the back-end complexities of cross-border commerce while providing local payments expertise. Global e-commerce companies, technology firms, marketplaces, and financial institutions use its fintech-as-a-service platforms—Collect, Disburse, Wallet, and Issuing—to embed localized fintech and payments capabilities into their applications in a simple way.",United Kingdom,Product As A Service,6. Other As A Service,2016,Mature,"175,000,000",Series C
Trusona,trusona.com,Trusona offers a fully passwordless authentication technology platform that enables organizations to mitigate virtually all risk associated with compromised credential attacks by reducing their attack surface. The company’s UI enables users to log in to any platform on any device without usernames or passwords across all enterprise use cases.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Emerging,"38,000,000",Series C
Cuvva,https://www.cuvva.com/,Cuvva offers hourly car insurance sold through a mobile app.,United Kingdom,Product As A Service,5. Insurance,2015,Emerging,"25,360,000",Series A
Narmi,narmi.com,Narmi is a financial technology firm that builds online banking and mobile banking applications for regional and community financial institutions in the United States.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2016,Nascent,"21,460,000",Series B
Numbrs,numbrs.com,Numbrs is a mobile-first banking app that enables a user to track and predict their spending with the added functionality of being able to make transactions and pay bills from within the app.,Switzerland,Data Aggregators,9. Open Banking,1999,Mature,"97,260,000",Series D
Unit,unit.co,"Unit builds a platform that lets third parties integrate banking services like payment cards, checking accounts, cash advances and money transfers into their own businesses by way of an API.",United States,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"18,600,000",Seed
Pennylane,pennylane.tech,Pennylane is a platform that allows business managers to manage company's financial data in real-time.,France,Data Aggregators,10. Other Financial Data,2019,Nascent,"22,760,000",Series A
By Miles,https://www.bymiles.co.uk/,By Miles is a car insurance provider aimed at people who live in cities and use their car infrequently.,United Kingdom,Product As A Service,5. Insurance,2016,Nascent,"26,800,000",Series B
